name,id,address,latitude,longitude,rating
The Mohawk,45f4fde8f964a52001441fe3,"['912 Red River St (at E 10th St.)', 'Austin, TX 78701', 'United States']",30.270000592044763,-97.7359316400037,8.5
Scottish Rite Theatre,4b65efe6f964a5209d092be3,"['207 W 18th St (Lavaca)', 'Austin, TX 78701', 'United States']",30.279910059706587,-97.74063186245304,8.2
Cheer Up Charlie's,53016e04498e2a3d3f703437,"['900 Red River St (at 9th St)', 'Austin, TX 78701', 'United States']",30.26959062736247,-97.73618683230653,8.8
Empire Control Room,512ba6e51648d4cde4dd39b7,"['606 E 7th St (Red River)', 'Austin, TX 78701', 'United States']",30.267499086668955,-97.73615760645771,8.2
The Townsend,54f12e4e498e53d73df2472b,"['718 Congress Ave Ste 100 (8th St)', 'Austin, TX 78701', 'United States']",30.269611,-97.742448,8.2
Cactus Cafe,40b13b00f964a5205af71ee3,"['2247 Guadalupe Street (at 24th)', 'Austin, TX 78712', 'United States']",30.2864812,-97.7411482,8.4
Stubb's Waller Creek Amphitheatre,5513b79d498e85e653f255ad,"['801 Red River St', 'Austin, TX 78701', 'United States']",30.268786185258854,-97.73613209558303,7.9
Antone's,568c8b18498edb7318117b20,"['305 E 5th St', 'Austin, TX 78701', 'United States']",30.266242402756205,-97.74038029253832,8.7
The Belmont,44fefd89f964a5209e381fe3,"['305 W 6th St (Lavaca St.)', 'Austin, TX 78701', 'United States']",30.268766669930354,-97.74553407653735,8.0
Ethics Music Lounge,56cc0c4fcd101152a27ddee9,"['422 Congress Ave Ste C (W. 5th St.)', 'Austin, TX', 'United States']",30.2729209,-97.7443863,7.2
Stubb's Bar-B-Q,40fb0f00f964a520fc0a1fe3,"['801 Red River St (at E 8th St)', 'Austin, TX 78701', 'United States']",30.268516074327795,-97.73625580828983,8.1
Shiner's Saloon,49b6d215f964a52013531fe3,"['422 Congress Ave Ste D (at 5th St)', 'Austin, TX 78701', 'United States']",30.2671262965541,-97.74332196374758,8.1
Speakeasy,40b13b00f964a520e8f31ee3,"['412 Congress Ave (btwn 4th & 5th St.)', 'Austin, TX 78701', 'United States']",30.266669079806977,-97.74342725916848,7.9
Cooper's Old Time Pit Bar-B-Que,5676037b498e1b7d98c935c7,"['217 Congress Ave', 'Austin, TX 78701', 'United States']",30.26496553144536,-97.74374663829803,8.5
The Parish Underground,4d6ea141451c41bd39102845,"['214 E 6th St', 'Austin, TX 78701', 'United States']",30.26767660731929,-97.74071870166749,7.4
Nuno's Bar & Grill,440fee3ef964a520b1301fe3,"['422 E 6th St (Neches)', 'Austin, TX 78701', 'United States']",30.267112731933594,-97.73834991455078,7.4
Maggie Mae's Gibson Room,514158efe4b05078b2fb62e2,"['323 E 6th St Austin, TX 78701', 'Austin, TX 78701', 'United States']",30.26700878387244,-97.73965417077096,7.3
Moody Theater Dining Room,4dbb00e06e815ab0de60413b,"['Austin, TX', 'United States']",30.26534356507212,-97.74648448210242,7.8
3Ten Austin City Limits Live,56e428dc498e7d17c76c9e78,"['310 Willie Nelson Blvd', 'Austin, TX 78701', 'United States']",30.26526631721365,-97.74729263439988,7.7
The Studio by HGTV,4f4c421f7beb1fbf46fdb3b3,"['304 W 4th St (between Lavaca & Guadalupe)', 'Austin, TX 78701', 'United States']",30.267081683990156,-97.74635314335815,7.3
The Gatsby,51cb98e0498ed96620f11580,"['708 E 6th St', 'Austin, TX 78701', 'United States']",30.26617581760634,-97.73557027544675,7.5
Austin City Limits Live,4c77cbe5947ca1cd90694837,"['310 Willie Nelson Blvd (at Guadalupe St)', 'Austin, TX 78701', 'United States']",30.26528811463551,-97.7472595526079,9.3
Hotel Vegas,4ca6c35f931bb60c71fd96e2,"['1500 E 6th St (Onion St)', 'Austin, TX 78702', 'United States']",30.263507687640878,-97.72715761193223,8.5
Darwin's Pub,414e1d80f964a520e01c1fe3,"['223 E 6th St (at San Jacinto Boulevard)', 'Austin, TX 78701', 'United States']",30.26732751279181,-97.740521604133,6.9
Driskill Victorian Room,4ba452f8f964a520fe9538e3,"['604 Brazos St', 'Austin, TX 78701', 'United States']",30.267747497874904,-97.74165368181548,6.9
Geraldine's,564262d7498ee76587cb98f6,"['605 Davis St', 'Austin, TX 78701', 'United States']",30.260043185787236,-97.73912601471523,8.5
Spiderhouse Ballroom,49f76669f964a520976c1fe3,"['2906 Fruth St (at W 29th St)', 'Austin, TX 78705', 'United States']",30.295268151632,-97.74215352700581,8.5
Central Presbyterian Church,440fec14f964a520aa301fe3,"['200 E 8th St (Brazos Street)', 'Austin, TX 78701', 'United States']",30.269627670249008,-97.74056422793554,6.7
The Nook Amphitheater,5137f999222f7c7f11aee04d,"['309 E 6th St', 'Austin, TX 78701', 'United States']",30.26707316588849,-97.7401495189234,6.8
Cedar Street Courtyard,40b13b00f964a5207af31ee3,"['208 W 4th St (Colorado & Lavaca)', 'Austin, TX 78701', 'United States']",30.266829315301294,-97.74531306567107,8.5
Dirty Dog Bar,49fc6aa9f964a5209e6e1fe3,"['505 E 6th St (at Neches)', 'Austin, TX 78701', 'United States']",30.26660477957577,-97.73798086269417,6.9
Alta's Cafe,56dd2ff7498e4cf4fa086e05,"['Austin, TX', 'United States']",30.2605185,-97.7417291,7.5
The Parish,440fee99f964a520b2301fe3,"['214-C E 6th St (San Jacinto)', 'Austin, TX 78701', 'United States']",30.267753263609453,-97.7407452305068,7.4
Plush,40c7a480f964a520fb001fe3,"['617 Red River St (at 7th St.)', 'Austin, TX 78701', 'United States']",30.267325604488764,-97.73675443676372,7.7
Austin City Hall,458c29a3f964a520f63f1fe3,"['301 W 2nd St', 'Austin, TX 78701', 'United States']",30.264999455968375,-97.747174149794,7.1
Karma Lounge,42accc80f964a5204a251fe3,"['105 E 5th St (btw Congress and Colorado)', 'Austin, TX 78701', 'United States']",30.266789240883906,-97.74226931117228,6.7
Empire Garage,51300d5c7e27eb71082d6d5a,"['604 E 7th St', 'Austin, TX 78701', 'United States']",30.26745726976553,-97.73626623572706,6.3
Donn's Depot,40b13b00f964a52097f31ee3,"['1600 W 5th St', 'Austin, TX 78703', 'United States']",30.273781,-97.763382,7.7
Paramount Theatre,44b75631f964a5206d351fe3,"['713 Congress Ave (7th St.)', 'Austin, TX 78701', 'United States']",30.269456913114563,-97.74207715692992,8.9
Valhalla,4b11ed18f964a520138723e3,"['710 Red River St (at E 8th St)', 'Austin, TX 78701', 'United States']",30.268045600956285,-97.73680717599673,7.8
Swan Dive,4ce72f260f196dcbcdb63cae,"['615 Red River St. (7th Street)', 'Austin, TX 78701', 'United States']",30.26719909349932,-97.73677855447215,6.3
Rattle Inn,4edd4243f9f4181fa47573b7,"['610 Nueces St (W 6th St)', 'Austin, TX 78701', 'United States']",30.270189933829798,-97.7484040780401,6.3
Rebel's Saloon,55e1177c498e967646313b13,"['305 W 5th St', 'Austin, TX 78701', 'United States']",30.26773197032328,-97.74603753878101,6.3
Elysium,422f8e00f964a520fc1f1fe3,"['705 Red River St (at 7th Street)', 'Austin, TX 78701', 'United States']",30.26767601947725,-97.73665453351396,7.2
Peckerheads,4ac82f84f964a520e3bb20e3,"['402 E 6th St (at Trinity)', 'Austin, TX 78701', 'United States']",30.267167668058757,-97.73904925285088,6.2
Maggie Mae's,40b13b00f964a520c5f31ee3,"['323 E 6th St (at Trinity)', 'Austin, TX 78701', 'United States']",30.267099365967386,-97.73976190730701,6.9
Voodoo Room,52016d408bbdf1a6d233e3c2,"['419 E 6th St', 'Austin, TX 78701', 'United States']",30.266825562331494,-97.73863121826929,6.2
Scoot Inn,441d4341f964a52060311fe3,"['1308 E 4th St (Navasota)', 'Austin, TX 78702', 'United States']",30.262100797157196,-97.7294659452819,7.7
The Chuggin' Monkey,44185019f964a5201d311fe3,"['219 E 6th St (btw Brazos St. & San Jacinto Blvd.)', 'Austin, TX 78701', 'United States']",30.267410070510664,-97.74070117853397,6.9
McDonald's Loft,56dfd2c6498ede1780dd19e6,"['Austin, TX', 'United States']",30.264516280612877,-97.74045435993838,6.2
Raptor House at Arlyn Studio,513ce0fde4b0b886acf79d93,"['200 Academy Dr', 'Austin, TX 78704', 'United States']",30.25282556211483,-97.7464261259151,7.6
The Blind Pig Pub,40b13b00f964a52069f31ee3,"['317 E 6th St (btw San Jacinto Boulevard & Trinity Street)', 'Austin, TX 78701', 'United States']",30.267139644762892,-97.73982606270897,6.9
The Container Bar,4e29e18dd22d3f83c87def5b,"['90 Rainey St (Davis)', 'Austin, TX 78701', 'United States']",30.26031861339789,-97.7383642806243,7.7
Spider House Patio Bar & Cafe,40b3de00f964a5200f001fe3,"['2908 Fruth St (at W 29th St)', 'Austin, TX 78705', 'United States']",30.29547901056866,-97.74172531292336,8.5
The Elephant Room,4101a680f964a520640b1fe3,"['315 Congress Ave (at 3rd St.)', 'Austin, TX 78701', 'United States']",30.265671614711703,-97.74357539339803,8.7
Auditorium Shores at Lady Bird Lake,4a1f1b1ef964a520087c1fe3,"['800 W. Riverside Dr.', 'Austin, TX 78704', 'United States']",30.259792212638185,-97.74901258927403,9.5
Vulcan Gas Company,5319373d498e20ab5c0d1da0,"['418 E 6th St (at Neches St)', 'Austin, TX 78701', 'United States']",30.266978333755368,-97.73859078932509,6.7
Rainey Street,4f125602e4b000502d0ae954,"['Austin, TX 78701', 'United States']",30.259186804775535,-97.73857500681439,8.7
Mohawk Outdoor,5c782de11ffe97002cd4b204,"['912 Red River St', 'Austin, TX 78701', 'United States']",30.270126857139275,-97.7362471818924,
Hole In The Wall,40b13b00f964a520adf31ee3,"['2538 Guadalupe St', 'Austin, TX 78705', 'United States']",30.289972990490817,-97.74148030057549,7.9
9th & Trinity Lot,4f43ec667beb9a3ad852284b,"['Trinity St (E 9th St)', 'Austin, TX 78701', 'United States']",30.269494027043788,-97.73772098513861,
Stay Gold,54c31018498e78ed16522991,"['1910 E Cesar Chavez St', 'Austin, TX 78702', 'United States']",30.257108228032358,-97.72367183248393,8.4
Beerland,424b3d80f964a52098201fe3,"['711 Red River St (E. 7th Street)', 'Austin, TX 78701', 'United States']",30.267735046603633,-97.73661017408638,7.3
720 Club Patio,550a5c05498ee6451e95456b,"['Austin, TX', 'United States']",30.26838,-97.736852,
Stubb's Indoors,568cc4ad498ec9bbe7a7e8a7,"['Austin, TX', 'United States']",30.2684898,-97.7361558,
720 Club,5c7897f3d0a149002c095b1a,"['720 Red River St', 'Austin, TX 78701', 'United States']",30.268293380737305,-97.73677062988281,
The Fusion Room Austin,4cf05a2d899c6ea83c29eac1,"['1109 N Interstate 35 (12th st.)', 'Austin, TX 78702', 'United States']",30.271371841430664,-97.73149108886719,
Venue 222,4d4e2ccc20d3236aaff89828,"['222 E 6th St', 'Austin, TX 78701', 'United States']",30.267502926582583,-97.74054704421907,
505 east 7th St,5143bdb2e4b08e9c807d2343,"['505 E 7th St', 'Austin, TX 78701', 'United States']",30.26738838482981,-97.73755124293365,
Red 7,43fda18af964a520f22f1fe3,"['611 E 7th St', 'Austin, TX 78701', 'United States']",30.267108301295604,-97.73616877912808,6.9
Mi Casa Cantina,4b5bc06cf964a520291429e3,"['503 E 6th St (Neches St)', 'Austin, TX 78701', 'United States']",30.266759861908486,-97.73822290805401,
The Treehouse,4d4fede68a592c0f4387919f,"['501 E 6th St (neches)', 'Austin, TX 78701', 'United States']",30.266713679896988,-97.73827437416281,
Nuvola,4d6e9cff451c41bdca042845,"['105 E 5th St', 'Austin, TX 78701', 'United States']",30.266800228765362,-97.74233866052161,
Historic Old Emo's,51f86950498ea6c3f0921023,"['603 Red River St (Sixth st)', 'Austin, TX 78701', 'United States']",30.266885077612493,-97.73677679931504,
The Annex at 6th & Red River,513fcc11e4b052f648711853,"['522 E 6th St (Red River Street)', 'Austin, TX 78701', 'United States']",30.26677766731033,-97.73723297740204,
Scratch House,56d6985d498e31cfad1eb43e,"['617 E 7th St', 'Austin, TX 78701', 'United States']",30.267036524828995,-97.73604596027899,
Des Moines Embassy,5501e879498e0576cfae0bca,"['523 E 6th St (Red River Street)', 'Austin, TX 78701', 'United States']",30.26676719504739,-97.73707384517562,
GRINDHOUSE,522d337c11d2b1afe7aff9c1,"['603 Red River St (Sixth Street)', 'Austin, TX 78701', 'United States']",30.266820907592773,-97.7368392944336,
ScratcHouse Backyard,5c782f68835c9a002c880d88,"['617 E 7th St', 'Austin, TX 78701', 'United States']",30.266939163208008,-97.73613739013672,
Klub Krucial,4b896955f964a520bb3332e3,"['612 E 6th St', 'Austin, TX 78701', 'United States']",30.26636486568418,-97.73651387605948,
The North Door,4e5ecaad7d8b67dc8ff98739,"['501 N Interstate 35 (at E 5th St)', 'Austin, TX 78702', 'United States']",30.26491971255115,-97.73415547799426,7.8
Auditorium Shores Dog Park,4bb3d775eb3e9521adb7cb0a,"['800 W Riverside Dr.', 'Austin, TX 78704', 'United States']",30.263810186832067,-97.75378469161694,9.3
Latitude 30,440fedb2f964a520b0301fe3,"['512 San Jacinto Blvd (at E 5th St)', 'Austin, TX 78701', 'United States']",30.267075991933904,-97.7406176422443,5.8
2nd Street Soundcheck,4fca2abae4b098b3ef0aa12b,"['Austin, TX 78701', 'United States']",30.265264224551075,-97.74753291196808,
Lemon Lounge,586db203f59572200af48dcc,"['908 E 5th St (San Marcos St)', 'Austin, TX 78702', 'United States']",30.264424,-97.733249,
11E5,51abea86e4b0f65d6adf5d32,"['1000 E 5th St', 'Austin, TX 78702', 'United States']",30.263887741952235,-97.73104299889303,
The Main,4f513b1e7bebff6f56e2a763,"['603 Red River St (6th St)', 'Austin, TX 78701', 'United States']",30.26651423094585,-97.73668116514722,5.1
Pine Street Station,4bd0fa8d77b29c7448f88b82,"['1076 E 5th St.', 'Austin, TX 78702', 'United States']",30.263453231816047,-97.73154062649,
Half Step,52b9e56111d2edfe8e095920,"['75 1/2 Rainey St', 'Austin, TX 78701', 'United States']",30.25865328041431,-97.73868607297766,8.4
Banger's Sausage House & Beer Garden,4feb8f93e4b0a19839c43cd2,"['79 & 81 Rainey St (btwn Davis & River St.)', 'Austin, TX 78701', 'United States']",30.25895149265441,-97.73848512507256,9.1
7CO,5a5015b9fdb9a758f67a5c03,"['Austin, TX 78702', 'United States']",30.26408,-97.726961,
Converse Rubber Tracks,5140d36de4b0a324762abbf9,"['Austin, TX', 'United States']",30.26190155473811,-97.73003525613939,
Hotel Vegas Patio,5c782bdc2be425002c9236c9,"['1500 E 6th St', 'Austin, TX 78702', 'United States']",30.263580322265625,-97.72720336914062,
Saxon Pub,40b13b00f964a520e2f31ee3,"['1320 S Lamar Blvd', 'Austin, TX 78704', 'United States']",30.253410231396106,-97.7632693739411,8.5
Victory Grill,45fbf9a7f964a5206a441fe3,"['1104 E 11th St', 'Austin, TX 78702', 'United States']",30.269138818286205,-97.7286193289476,6.5
green eggs and jams,58cc17806c682b5ee1652eaa,"['1649 E. Sixth Street', 'Austin, TX', 'United States']",30.261886,-97.725775,
Flamingo Cantina,40b13b00f964a520a3f31ee3,"['515 E 6th St', 'Austin, TX 78701', 'United States']",30.26650170783456,-97.73773923042017,7.4
The Rumbler Lounge,4ba11454f964a520b39537e3,"['402 E 6th St (Trinity)', 'Austin, TX 78701', 'United States']",30.267305374145508,-97.73902130126953,
Galaxy Room Backyard,4ba18aa0f964a52049bf37e3,"['508 E 6th St', 'Austin, TX 78701', 'United States']",30.267037,-97.737747,
604 E. 6th Street,4ba29437f964a520220638e3,"['604 E 6th St', 'Austin, TX 78701', 'United States']",30.266671000000002,-97.73684899999999,
